accountId,id,name,profileIconId,revisionDate,summonerLevel
203921694,25301734,진에어 꾸잔,3006,1509015420000,30
209300003,58990819,양갱뿌,3172,1509183583000,30
1960910,2476861,콩복치,970,1509230237000,30
205613310,32922003,푸딩은푸딩해,982,1509194720000,30
208770200,54804802,ROX 라바,3009,1509080001000,30
209270513,58620897,KT SSUN,1482,1509096611000,30
200059718,11373319,Fabu,3037,1509061888000,30
1890305,2481136,모든최선을다하자,7,1509188109000,30
3946176,4837752,아이센스PC방 1,1113,1509169429000,30
2725181,3458580,쪼렙이다말로하자,3019,1509157534000,30
2461308,3238847,Axiyo,1114,1509010339000,30
8053322,21864810,jinwandalaohu,7,1508826146000,30
208561577,53191248,1997 04 01,1634,1509203257000,30
203024256,22441180,구 탄단,3006,1509215381000,30
204062750,26022557,진쟤승,3081,1509195529000,30
3863724,4843289,최석배 사생팬,3006,1509228463000,30
202048648,19230450,CJE Veritas,3009,1509179084000,30
204544908,28920777,Destiny,1301,1509195290000,30
206948172,41780873,멘탈약함올차단,1596,1509163633000,30
