freshBlood,hotStreak,inactive,leaguePoints,losses,playerOrTeamId,playerOrTeamName,rank,veteran,wins,accountId,id
True,False,False,0,54,10749868,Wiz ICE,I,False,140,7607727,10749868
True,False,False,0,315,5892855,오빠먼저샤워할게,I,False,376,4595860,5892855
True,False,False,151,515,4887772,코태는,I,False,559,3946530,4887772
False,False,False,57,358,23515825,한쿡말몰라,I,False,402,203516817,23515825
True,False,False,0,70,4071463,K 듀란트,I,False,153,3254107,4071463
True,False,False,0,441,40330567,zuizuizuizuizui,I,False,507,206731480,40330567
False,False,False,94,260,33461854,1ovestruck,I,False,297,205751852,33461854
False,False,False,140,505,5186173,Ermion로커,I,False,596,4255460,5186173
True,False,False,283,344,5802440,Rinye,I,False,395,4586738,5802440
False,False,False,0,218,11061747,잘해줘서고마워,I,False,257,7699221,11061747
True,False,False,11,322,56010155,KT화이팅,I,False,346,208914823,56010155
False,False,False,149,646,8754245,댕청잇,I,True,692,5952911,8754245
False,False,False,33,322,49480594,팬 따,I,True,361,208057420,49480594
False,False,False,46,498,55011052,I CanT Die,I,False,563,208777210,55011052
False,False,False,338,185,29341691,IGS Dasher,I,False,277,204673167,29341691
False,False,False,21,344,38941060,변춘수,I,False,392,206521473,38941060
False,True,False,210,928,22571215,wojuede OK,I,False,979,203024162,22571215
True,True,False,0,71,60671604,BBD,I,False,131,209497888,60671604
False,False,False,5,53,57680332,베이징,I,False,112,209132696,57680332
True,False,False,0,25,51600124,야스오너무좋아,I,False,85,208325070,51600124
True,True,False,18,164,50330601,Jin Air Euna,I,False,215,208163075,50330601
True,False,False,19,450,1093656,Tone Deaf,I,False,503,443084,1093656
True,False,False,15,969,2190492,neuroticism,I,False,1006,1649273,2190492
False,False,False,249,816,45170701,뭐이리불만이많아,I,True,854,207572080,45170701
True,False,False,0,230,4934416,세나의복수다탕탕,I,False,278,3886348,4934416
True,False,False,16,446,20411274,댈지어다,I,False,484,202640936,20411274
False,False,False,21,172,57720996,던져서죄송합니다,I,False,244,209165499,57720996
False,True,False,12,58,2921333,화가난빵돌이,I,False,134,2169212,2921333
False,True,False,288,899,26691029,사 용 수,I,False,944,204196076,26691029
False,False,False,306,1400,16140220,Kingen,I,True,1451,201133405,16140220
False,False,False,0,568,8356967,이상호저격계정,I,True,603,5757078,8356967
True,False,False,70,770,3681888,cutexx,I,False,859,2740138,3681888
False,False,False,35,394,9305288,홍삼괴물,I,True,496,6502161,9305288
True,False,False,307,226,57210260,111111111111110,I,False,312,209090976,57210260
True,False,False,34,675,50080859,Hide On Sh1t,I,False,716,208120798,50080859
False,False,False,279,636,1730843,수입뿌드,I,True,697,1243363,1730843
False,False,False,42,473,39071187,너네랑대화안함,I,False,505,206567888,39071187
True,False,False,155,262,8471153,Creative Self,I,False,314,5845781,8471153
False,False,False,0,133,28630732,weuijetqwgbwefoq,I,False,210,204459286,28630732
False,False,False,126,356,11386145,H2K J00N,I,False,406,200107827,11386145
True,False,False,67,304,35781732,숲속거인,I,False,377,206098467,35781732
False,True,False,87,303,30221775,SKT Tl Untara,I,False,418,204855879,30221775
False,False,False,85,124,42600887,Svvord,I,False,186,205964102,42600887
False,False,False,49,354,10261605,멍하다,I,True,403,7208941,10261605
False,False,False,270,181,36150140,Detiny,I,False,240,206100474,36150140
